"subject","trial","fix_type","fix_time","Celebrity_Manipulation","Gaze_Manipulation"
44351,2,"Product",0.382810920121335,"Celebrity","Gaze at Product"
44351,2,"Face",0.350859453993933,"Celebrity","Gaze at Product"
44351,2,"Elsewhere",0.266329625884732,"Celebrity","Gaze at Product"
44351,3,"Product",0.76710233029382,"Non Celebrity","Gaze at Product"
44351,3,"Face",0.22289766970618,"Non Celebrity","Gaze at Product"
44351,3,"Elsewhere",0.01,"Non Celebrity","Gaze at Product"
44351,4,"Product",0.26832725799919,"Non Celebrity","Gaze at Viewer"
44351,4,"Face",0.337991089509923,"Non Celebrity","Gaze at Viewer"
44351,4,"Elsewhere",0.393681652490887,"Non Celebrity","Gaze at Viewer"
44351,5,"Product",0.378444084278768,"Celebrity","Gaze at Viewer"
44351,5,"Face",0.466166936790924,"Celebrity","Gaze at Viewer"
44351,5,"Elsewhere",0.155388978930308,"Celebrity","Gaze at Viewer"
44351,6,"Product",0.550813008130081,"Celebrity","Gaze at Viewer"
44351,6,"Face",0.384756097560976,"Celebrity","Gaze at Viewer"
44351,6,"Elsewhere",0.0644308943089431,"Celebrity","Gaze at Viewer"
44351,7,"Product",0.575929426591052,"Non Celebrity","Gaze at Product"
44351,7,"Face",0.199747952110901,"Non Celebrity","Gaze at Product"
44351,7,"Elsewhere",0.224322621298047,"Non Celebrity","Gaze at Product"
44351,8,"Product",0.371555915721232,"Non Celebrity","Gaze at Viewer"
44351,8,"Face",0.22629659643436,"Non Celebrity","Gaze at Viewer"
44351,8,"Elsewhere",0.402147487844408,"Non Celebrity","Gaze at Viewer"
44351,10,"Product",0.529411764705882,"Celebrity","Gaze at Product"
44351,10,"Face",0.421669698807358,"Celebrity","Gaze at Product"
44351,10,"Elsewhere",0.0489185364867599,"Celebrity","Gaze at Product"
44351,11,"Product",0.908954904894208,"Celebrity","Gaze at Viewer"
44351,11,"Face",0.00897627698226139,"Celebrity","Gaze at Viewer"
44351,11,"Elsewhere",0.0820688181235307,"Celebrity","Gaze at Viewer"
44351,14,"Product",0.595667095667095,"Non Celebrity","Gaze at Product"
44351,14,"Face",0.273702273702274,"Non Celebrity","Gaze at Product"
44351,14,"Elsewhere",0.130630630630631,"Non Celebrity","Gaze at Product"
44351,15,"Product",0.848190822720841,"Celebrity","Gaze at Product"
44351,15,"Face",0.0927835051546392,"Celebrity","Gaze at Product"
44351,15,"Elsewhere",0.0590256721245199,"Celebrity","Gaze at Product"
45194,1,"Product",0.185451279748541,"Non Celebrity","Gaze at Viewer"
45194,1,"Face",0.782667265379434,"Non Celebrity","Gaze at Viewer"
45194,1,"Elsewhere",0.0318814548720251,"Non Celebrity","Gaze at Viewer"
45194,2,"Product",0.0757351385656865,"Celebrity","Gaze at Product"
45194,2,"Face",0.855299344192934,"Celebrity","Gaze at Product"
45194,2,"Elsewhere",0.0689655172413795,"Celebrity","Gaze at Product"
45194,3,"Product",0.044622660908904,"Celebrity","Gaze at Product"
45194,3,"Face",0.787168414558914,"Celebrity","Gaze at Product"
